iter	Passed	Remaining
724	1651	8600
725	1654	8600
726	1657	8600
727	1660	8604
728	1662	8601
729	1665	8603
730	1669	8606
731	1672	8610
732	1675	8611
733	1678	8609
734	1680	8607
735	1683	8609
736	1686	8611
737	1689	8613
738	1692	8611
739	1694	8610
740	1697	8609
741	1699	8607
742	1702	8607
743	1707	8618
744	1710	8621
745	1714	8627
746	1717	8630
747	1721	8635
748	1725	8640
749	1729	8648
750	1732	8647
751	1735	8651
752	1739	8655
753	1743	8659
754	1746	8661
755	1749	8661
756	1751	8661
757	1754	8660
758	1756	8656
759	1758	8653
760	1761	8656
761	1765	8659
762	1768	8660
763	1770	8659
764	1773	8659
765	1775	8656
766	1778	8655
767	1780	8652
768	1783	8653
769	1785	8651
770	1788	8648
771	1790	8645
772	1793	8644
773	1795	8642
774	1797	8639
775	1800	8638
776	1802	8635
777	1804	8630
778	1807	8631
779	1809	8632
780	1812	8630
781	1815	8630
782	1817	8626
783	1819	8625
784	1821	8620
785	1824	8618
786	1825	8613
787	1828	8611
788	1830	8609
789	1833	8609
790	1835	8607
791	1838	8605
792	1840	8602
793	1842	8601
794	1844	8597
795	1847	8597
796	1850	8595
797	1852	8592
798	1854	8591
799	1856	8587
800	1859	8584
801	1860	8580
802	1862	8577
803	1864	8573
804	1867	8570
805	1869	8566
806	1870	8561
807	1873	8559
808	1875	8558
809	1878	8558
810	1881	8558
811	1884	8558
812	1887	8560
813	1890	8559
814	1894	8565
815	1897	8565
816	1899	8564
817	1902	8564
818	1905	8565
819	1908	8565
820	1911	8564
821	1913	8562
822	1916	8563
823	1919	8561
824	1922	8562
825	1924	8561
826	1927	8561
827	1930	8560
828	1934	8564
829	1936	8564
830	1939	8561
831	1941	8558
832	1943	8557
833	1946	8556
834	1949	8555
835	1951	8551
836	1953	8550
837	1956	8549
838	1959	8550
839	1962	8548
840	1964	8547
841	1966	8542
842	1968	8538
843	1970	8534
844	1971	8529
845	1974	8527
846	1976	8523
847	1978	8520
848	1980	8518
849	1982	8513
850	1984	8509
851	1986	8505
852	1988	8500
853	1990	8498
854	1992	8494
855	1994	8489
856	1996	8486
857	1998	8482
858	2000	8479
859	2002	8474
860	2003	8469
861	2005	8465
862	2007	8461
863	2009	8458
864	2012	8455
865	2014	8453
866	2016	8448
867	2018	8448
868	2021	8445
869	2022	8439
870	2024	8436
871	2026	8431
872	2028	8428
873	2030	8423
874	2032	8419
875	2034	8414
876	2036	8411
877	2038	8407
878	2039	8403
879	2042	8400
880	2043	8396
881	2046	8394
882	2048	8389
883	2049	8385
884	2051	8378
885	2053	8375
886	2054	8370
887	2056	8365
888	2058	8362
889	2061	8360
890	2062	8355
891	2064	8352
892	2066	8346
893	2068	8345
894	2070	8341
895	2072	8336
896	2074	8334
897	2076	8328
898	2078	8325
899	2080	8321
900	2082	8318
901	2084	8313
902	2085	8308
903	2087	8304
904	2089	8301
905	2091	8296
906	2093	8293
907	2095	8289
908	2098	8288
909	2100	8286
910	2102	8281
911	2104	8277
912	2105	8273
913	2107	8269
914	2109	8264
915	2110	8259
916	2112	8254
917	2114	8250
918	2116	8246
919	2117	8241
920	2119	8236
921	2121	8232
922	2123	8228
923	2125	8227
924	2128	8225
925	2130	8221
926	2132	8217
927	2134	8215
928	2136	8212
929	2139	8211
930	2141	8208
931	2144	8209
932	2146	8205
933	2148	8203
934	2151	8201
935	2153	8200
936	2155	8197
937	2157	8191
938	2159	8189
939	2161	8186
940	2163	8183
941	2165	8178
942	2167	8175
943	2170	8176
944	2172	8173
945	2174	8170
946	2176	8167
947	2179	8166
948	2181	8162
949	2183	8160
950	2185	8154
951	2187	8152
952	2190	8151
953	2191	8146
954	2193	8142
955	2195	8140
956	2198	8139
957	2200	8136
958	2202	8132
959	2204	8130
960	2207	8128
961	2209	8125
962	2211	8122
963	2213	8118
964	2216	8118
965	2218	8116
966	2221	8115
967	2223	8113
968	2225	8109
969	2227	8106
970	2230	8105
971	2232	8101
972	2234	8099
973	2237	8098
974	2239	8096
975	2241	8092
976	2243	8089
977	2245	8086
978	2247	8084
979	2249	8081
980	2252	8078
981	2254	8075
982	2256	8074
983	2258	8070
984	2260	8066
985	2262	8063
986	2264	8061
987	2266	8058
988	2269	8055
989	2271	8052
990	2273	8050
991	2275	8046
992	2277	8044
993	2279	8039
994	2281	8037
995	2284	8036
996	2286	8034
997	2288	8031
998	2291	8029
999	2293	8027
1000	2295	8025
1001	2297	8022
1002	2299	8018
1003	2302	8017
1004	2304	8015
1005	2306	8010
1006	2308	8007
1007	2310	8004
1008	2312	8001
1009	2314	7996
1010	2316	7993
1011	2318	7990
1012	2319	7985
1013	2321	7982
1014	2324	7979
1015	2325	7976
1016	2327	7972
1017	2329	7968
1018	2332	7966
1019	2335	7966
1020	2337	7964
1021	2339	7960
1022	2340	7956
1023	2342	7953
1024	2345	7950
1025	2347	7948
1026	2349	7946
1027	2352	7943
1028	2354	7942
1029	2356	7939
1030	2358	7936
1031	2360	7933
1032	2362	7929
1033	2364	7926
1034	2366	7923
1035	2368	7920
1036	2370	7917
1037	2373	7914
1038	2375	7912
1039	2377	7909
1040	2379	7907
1041	2381	7903
1042	2383	7901
1043	2386	7898
1044	2388	7896
1045	2390	7893
1046	2392	7890
1047	2394	7888
1048	2396	7885
1049	2399	7882
1050	2401	7879
1051	2403	7876
1052	2405	7874
1053	2407	7871
1054	2410	7870
1055	2412	7868
1056	2414	7866
1057	2416	7863
1058	2419	7860
1059	2421	7859
1060	2423	7856
1061	2426	7854
1062	2429	7856
1063	2432	7855
1064	2435	7853
1065	2436	7850
1066	2439	7847
1067	2441	7844
1068	2443	7842
1069	2446	7842
1070	2449	7841
1071	2451	7839
1072	2453	7836
1073	2455	7833
1074	2457	7829
1075	2460	7830
1076	2463	7830
1077	2466	7828
1078	2468	7825
1079	2470	7824
1080	2473	7822
1081	2475	7820
1082	2477	7817
1083	2480	7815
1084	2482	7812
1085	2484	7809
1086	2485	7804
1087	2488	7802
1088	2490	7801
1089	2493	7800
1090	2495	7798
1091	2497	7794
1092	2499	7791
1093	2501	7788
1094	2503	7785
1095	2505	7782
1096	2508	7780
1097	2510	7777
1098	2512	7774
1099	2514	7773
1100	2516	7769
1101	2519	7767
1102	2521	7765
1103	2523	7763
1104	2525	7760
1105	2527	7757
1106	2529	7753
1107	2531	7750
1108	2534	7748
1109	2536	7745
1110	2538	7743
1111	2540	7740
1112	2542	7737
1113	2545	7735
1114	2547	7733
1115	2549	7731
1116	2551	7726
1117	2553	7723
1118	2555	7722
1119	2557	7718
1120	2559	7714
1121	2561	7711
1122	2563	7707
1123	2565	7704
1124	2566	7700
1125	2568	7697
1126	2571	7695
1127	2573	7693
1128	2575	7690
1129	2578	7689
1130	2580	7687
1131	2582	7684
1132	2584	7681
1133	2587	7679
1134	2589	7677
1135	2591	7675
1136	2593	7671
1137	2595	7668
1138	2597	7664
1139	2599	7662
1140	2602	7660
1141	2604	7657
1142	2606	7654
1143	2608	7651
1144	2610	7648
1145	2612	7646
1146	2614	7643
1147	2616	7640
1148	2619	7639
1149	2621	7636
1150	2623	7633
1151	2626	7633
1152	2628	7629
1153	2630	7626
1154	2632	7622
1155	2634	7620
1156	2636	7618
1157	2638	7616
1158	2640	7612
1159	2643	7610
1160	2645	7608
1161	2647	7606
1162	2650	7604
1163	2653	7603
1164	2655	7601
1165	2657	7599
1166	2660	7597
1167	2661	7593
1168	2663	7590
1169	2665	7587
1170	2668	7585
1171	2670	7581
1172	2672	7579
1173	2674	7577
1174	2676	7574
1175	2678	7571
1176	2680	7568
1177	2682	7565
1178	2684	7562
1179	2687	7560
1180	2689	7557
1181	2691	7555
1182	2693	7551
1183	2694	7547
1184	2697	7545
1185	2699	7543
1186	2701	7541
1187	2704	7538
1188	2705	7534
1189	2707	7530
1190	2709	7527
1191	2710	7523
1192	2713	7521
1193	2715	7519
1194	2717	7516
1195	2719	7514
1196	2721	7510
1197	2723	7507
1198	2725	7503
1199	2727	7501
1200	2729	7498
1201	2731	7495
1202	2734	7493
1203	2736	7491
1204	2738	7487
1205	2740	7483
1206	2742	7480
1207	2744	7479
1208	2746	7477
1209	2749	7475
1210	2751	7474
1211	2754	7472
1212	2756	7469
1213	2758	7466
1214	2759	7461
1215	2761	7458
1216	2763	7455
1217	2766	7453
1218	2768	7452
1219	2770	7449
1220	2772	7446
1221	2774	7443
1222	2777	7441
1223	2779	7439
1224	2781	7435
1225	2783	7432
1226	2785	7429
1227	2787	7426
1228	2789	7423
1229	2791	7420
1230	2793	7418
1231	2795	7416
1232	2797	7412
1233	2799	7410
1234	2802	7407
1235	2804	7405
1236	2805	7401
1237	2807	7397
1238	2809	7394
1239	2811	7392
1240	2814	7390
1241	2816	7388
1242	2818	7386
1243	2820	7383
1244	2822	7380
1245	2835	7404
1246	2837	7400
1247	2838	7396
1248	2840	7393
1249	2843	7391
1250	2845	7389
1251	2847	7387
1252	2849	7384
1253	2851	7382
1254	2854	7380
1255	2856	7376
1256	2858	7374
1257	2860	7371
1258	2862	7369
1259	2864	7366
1260	2866	7362
1261	2868	7358
1262	2869	7355
1263	2872	7353
1264	2874	7351
1265	2877	7349
1266	2879	7346
1267	2881	7344
1268	2883	7342
1269	2885	7339
1270	2887	7336
1271	2889	7333
1272	2892	7333
1273	2894	7330
1274	2896	7327
1275	2898	7324
1276	2901	7322
1277	2903	7320
1278	2905	7316
1279	2907	7313
1280	2909	7311
1281	2911	7308
1282	2913	7305
1283	2915	7303
1284	2917	7300
1285	2919	7297
1286	2922	7295
1287	2926	7297
1288	2929	7297
1289	2933	7298
1290	2937	7300
1291	2940	7302
1292	2943	7300
1293	2945	7297
1294	2948	7296
1295	2950	7295
1296	2952	7292
1297	2955	7289
1298	2957	7287
1299	2960	7288
1300	2963	7286
1301	2965	7283
1302	2967	7280
1303	2970	7279
1304	2971	7276
1305	2973	7272
1306	2975	7269
1307	2978	7268
1308	2980	7266
1309	2982	7263
1310	2984	7260
1311	2986	7257
1312	2988	7254
1313	2990	7251
1314	2992	7248
1315	2994	7245
1316	2996	7242
1317	2998	7239
1318	3000	7235
1319	3002	7232
1320	3004	7229
1321	3006	7226
1322	3008	7223
1323	3009	7220
1324	3012	7217
1325	3014	7214
1326	3016	7211
1327	3018	7209
1328	3019	7205
1329	3021	7202
1330	3023	7199
1331	3025	7196
1332	3027	7193
1333	3029	7190
1334	3032	7188
1335	3034	7186
1336	3036	7183
1337	3037	7179
1338	3039	7175
1339	3041	7172
1340	3043	7169
1341	3045	7167
1342	3047	7163
1343	3049	7160
1344	3050	7156
1345	3052	7152
1346	3054	7149
1347	3056	7146
1348	3058	7142
1349	3059	7139
1350	3062	7137
1351	3064	7135
1352	3066	7132
1353	3068	7129
1354	3070	7125
1355	3072	7123
1356	3074	7119
1357	3075	7116
1358	3077	7113
1359	3079	7110
1360	3081	7108
1361	3083	7105
1362	3085	7101
1363	3087	7098
1364	3089	7096
1365	3092	7094
1366	3094	7092
1367	3096	7089
1368	3098	7086
1369	3100	7083
1370	3102	7080
1371	3104	7077
1372	3106	7074
1373	3108	7071
1374	3109	7067
1375	3111	7064
1376	3113	7061
1377	3115	7059
1378	3117	7056
1379	3119	7052
1380	3120	7048
1381	3123	7046
1382	3124	7042
1383	3126	7038
1384	3127	7035
1385	3129	7032
1386	3132	7029
1387	3133	7026
1388	3135	7023
1389	3137	7019
1390	3139	7017
1391	3141	7014
1392	3143	7010
1393	3145	7007
1394	3147	7006
1395	3150	7004
1396	3152	7001
1397	3154	6998
1398	3156	6995
1399	3158	6994
1400	3160	6990
1401	3162	6987
1402	3163	6984
1403	3166	6981
1404	3168	6979
1405	3170	6977
1406	3172	6973
1407	3174	6970
1408	3176	6968
1409	3178	6965
1410	3180	6962
1411	3182	6959
1412	3183	6955
1413	3185	6952
1414	3188	6951
1415	3190	6949
1416	3192	6946
1417	3194	6942
1418	3196	6939
1419	3197	6936
1420	3200	6934
1421	3202	6931
1422	3204	6928
1423	3206	6925
1424	3208	6923
1425	3210	6920
1426	3212	6918
1427	3214	6914
1428	3216	6912
1429	3218	6910
1430	3220	6907
1431	3222	6903
1432	3224	6900
1433	3226	6898
1434	3228	6895
1435	3230	6892
1436	3232	6889
1437	3235	6888
1438	3237	6886
1439	3239	6883
1440	3241	6880
1441	3243	6878
1442	3245	6875
1443	3247	6872
1444	3249	6869
1445	3252	6868
1446	3253	6865
1447	3255	6861
1448	3257	6858
1449	3259	6855
1450	3260	6851
1451	3262	6848
1452	3264	6845
1453	3266	6842
1454	3268	6839
1455	3269	6835
1456	3271	6832
1457	3273	6830
1458	3276	6828
1459	3277	6824
1460	3279	6821
1461	3281	6818
1462	3283	6816
1463	3285	6813
1464	3287	6810
1465	3289	6807
1466	3290	6804
1467	3292	6801
1468	3294	6797
1469	3296	6794
1470	3298	6792
1471	3300	6788
1472	3302	6785
1473	3303	6781
1474	3305	6779
1475	3308	6777
1476	3310	6774
1477	3311	6771
1478	3313	6767
1479	3315	6765
1480	3317	6762
1481	3319	6759
1482	3321	6756
1483	3323	6754
1484	3325	6750
1485	3326	6747
1486	3328	6743
1487	3330	6740
1488	3332	6738
1489	3334	6735
1490	3335	6731
1491	3337	6729
1492	3340	6727
1493	3342	6725
1494	3344	6722
1495	3346	6719
1496	3348	6716
1497	3350	6713
1498	3351	6710
1499	3353	6706
1500	3355	6703
1501	3357	6700
1502	3358	6697
1503	3361	6695
1504	3363	6692
1505	3365	6690
1506	3367	6688
1507	3369	6685
1508	3371	6682
1509	3373	6679
1510	3376	6678
1511	3378	6676
1512	3380	6673
1513	3382	6670
1514	3383	6667
1515	3385	6664
1516	3387	6660
1517	3389	6657
1518	3390	6654
1519	3392	6651
1520	3395	6649
1521	3397	6647
1522	3399	6644
1523	3401	6641
1524	3402	6638
1525	3405	6635
1526	3406	6632
1527	3408	6629
1528	3410	6626
1529	3412	6623
1530	3414	6621
1531	3416	6617
1532	3417	6614
1533	3419	6612
1534	3421	6609
1535	3423	6606
1536	3425	6603
1537	3427	6600
1538	3429	6597
1539	3430	6594
1540	3432	6591
1541	3434	6588
1542	3437	6587
1543	3439	6584
1544	3441	6582
1545	3443	6579
1546	3445	6576
1547	3447	6573
1548	3449	6570
1549	3450	6567
1550	3452	6564
1551	3454	6561
1552	3456	6558
1553	3458	6555
1554	3459	6552
1555	3461	6549
1556	3463	6546
1557	3465	6543
1558	3467	6540
1559	3469	6539
1560	3472	6537
1561	3473	6533
1562	3475	6530
1563	3477	6527
1564	3479	6525
1565	3481	6522
1566	3483	6519
1567	3484	6516
1568	3486	6513
1569	3488	6510
1570	3490	6508
1571	3492	6505
1572	3494	6502
1573	3496	6499
1574	3499	6498
1575	3501	6496
1576	3503	6493
1577	3505	6490
1578	3507	6487
1579	3508	6484
1580	3510	6482
1581	3513	6480
1582	3514	6476
1583	3516	6474
1584	3519	6472
1585	3521	6469
1586	3522	6466
1587	3524	6463
1588	3526	6461
1589	3529	6459
1590	3531	6456
1591	3533	6454
1592	3535	6451
1593	3537	6449
1594	3539	6445
1595	3540	6442
1596	3542	6440
1597	3545	6437
1598	3546	6434
1599	3548	6432
1600	3551	6430
1601	3553	6428
1602	3555	6425
1603	3557	6423
1604	3559	6420
1605	3561	6417
1606	3563	6415
1607	3565	6412
1608	3567	6409
1609	3568	6405
1610	3570	6403
1611	3572	6399
1612	3574	6397
1613	3576	6394
1614	3578	6392
1615	3580	6389
1616	3582	6387
1617	3583	6383
1618	3585	6380
1619	3587	6378
1620	3589	6375
1621	3592	6373
1622	3593	6370
1623	3596	6368
1624	3597	6365
1625	3599	6362
1626	3601	6358
1627	3603	6356
1628	3605	6354
1629	3607	6352
1630	3609	6349
1631	3611	6346
1632	3613	6344
