iter	Passed	Remaining
617	1369	8602
618	1371	8600
619	1373	8594
620	1376	8595
621	1378	8595
622	1380	8592
623	1382	8589
624	1384	8585
625	1386	8581
626	1388	8578
627	1390	8572
628	1392	8570
629	1395	8573
630	1398	8572
631	1400	8571
632	1402	8568
633	1404	8566
634	1407	8564
635	1410	8567
636	1412	8568
637	1415	8569
638	1418	8571
639	1421	8572
640	1424	8574
641	1427	8576
642	1430	8580
643	1433	8581
644	1435	8582
645	1439	8585
646	1458	8684
647	1460	8684
648	1463	8686
649	1466	8686
650	1468	8683
651	1471	8683
652	1474	8688
653	1477	8688
654	1479	8686
655	1481	8682
656	1485	8687
657	1488	8689
658	1491	8691
659	1493	8688
660	1495	8688
661	1498	8686
662	1500	8684
663	1502	8682
664	1505	8682
665	1507	8681
666	1510	8679
667	1513	8680
668	1515	8679
669	1518	8680
670	1520	8677
671	1523	8677
672	1525	8673
673	1527	8671
674	1530	8670
675	1532	8670
676	1535	8668
677	1537	8664
678	1539	8665
679	1542	8667
680	1545	8665
681	1547	8662
682	1549	8662
683	1552	8661
684	1555	8662
685	1557	8660
686	1560	8658
687	1562	8656
688	1565	8657
689	1567	8655
690	1569	8654
691	1572	8652
692	1575	8653
693	1577	8651
694	1579	8649
695	1581	8645
696	1584	8643
697	1586	8644
698	1589	8645
699	1592	8644
700	1594	8642
701	1597	8640
702	1599	8637
703	1601	8637
704	1604	8636
705	1606	8633
706	1608	8631
707	1611	8628
708	1613	8625
709	1615	8625
710	1617	8621
711	1619	8618
712	1622	8615
713	1624	8612
714	1626	8607
715	1628	8607
716	1630	8603
717	1633	8604
718	1635	8602
719	1638	8599
720	1640	8598
721	1642	8595
722	1644	8592
723	1646	8588
724	1649	8588
725	1651	8585
726	1653	8581
727	1656	8581
728	1658	8579
729	1660	8576
730	1663	8575
731	1665	8573
732	1667	8571
733	1669	8567
734	1671	8563
735	1674	8561
736	1676	8559
737	1678	8556
738	1681	8556
739	1683	8554
740	1685	8549
741	1687	8546
742	1689	8540
743	1691	8537
744	1693	8533
745	1695	8530
746	1697	8529
747	1699	8526
748	1702	8524
749	1704	8524
750	1707	8522
751	1709	8518
752	1711	8514
753	1713	8510
754	1715	8508
755	1717	8505
756	1719	8501
757	1721	8497
758	1723	8495
759	1726	8493
760	1728	8493
761	1730	8491
762	1733	8491
763	1736	8491
764	1738	8489
765	1741	8489
766	1744	8488
767	1746	8485
768	1748	8483
769	1750	8480
770	1752	8478
771	1755	8475
772	1756	8469
773	1758	8465
774	1760	8463
775	1763	8461
776	1765	8458
777	1767	8456
778	1769	8453
779	1772	8451
780	1774	8449
781	1776	8448
782	1779	8446
783	1781	8444
784	1783	8441
785	1786	8439
786	1788	8438
787	1790	8435
788	1793	8433
789	1795	8430
790	1797	8426
791	1799	8425
792	1801	8422
793	1803	8419
794	1805	8416
795	1808	8416
796	1811	8414
797	1813	8411
798	1815	8408
799	1817	8405
800	1819	8402
801	1822	8401
802	1824	8399
803	1826	8396
804	1828	8394
805	1830	8391
806	1833	8388
807	1835	8386
808	1838	8387
809	1840	8385
810	1843	8385
811	1846	8384
812	1848	8382
813	1850	8380
814	1852	8378
815	1855	8376
816	1857	8375
817	1860	8372
818	1862	8369
819	1864	8367
820	1866	8363
821	1868	8361
822	1870	8358
823	1873	8356
824	1875	8352
825	1877	8350
826	1879	8349
827	1882	8347
828	1884	8343
829	1886	8340
830	1888	8336
831	1890	8335
832	1893	8333
833	1894	8329
834	1896	8326
835	1899	8324
836	1901	8322
837	1904	8322
838	1906	8319
839	1909	8318
840	1911	8316
841	1913	8314
842	1916	8312
843	1918	8311
844	1921	8311
845	1923	8308
846	1925	8305
847	1927	8302
848	1930	8302
849	1932	8299
850	1935	8298
851	1938	8299
852	1940	8295
853	1942	8292
854	1944	8288
855	1946	8286
856	1948	8283
857	1967	8350
858	1969	8346
859	1970	8341
860	1972	8337
861	1974	8334
862	1976	8331
863	1978	8327
864	1980	8324
865	1984	8325
866	1986	8325
867	1988	8322
868	1990	8318
869	1992	8315
870	1995	8313
871	1997	8310
872	1999	8307
873	2001	8305
874	2004	8305
875	2007	8303
876	2009	8300
877	2011	8297
878	2013	8294
879	2015	8292
880	2017	8288
881	2020	8287
882	2022	8284
883	2024	8281
884	2027	8279
885	2029	8277
886	2031	8275
887	2033	8273
888	2036	8270
889	2038	8267
890	2040	8264
891	2042	8261
892	2044	8260
893	2047	8258
894	2049	8255
895	2052	8254
896	2054	8253
897	2056	8250
898	2059	8249
899	2061	8247
900	2063	8243
901	2066	8244
902	2069	8242
903	2071	8238
904	2073	8235
905	2075	8232
906	2077	8229
907	2079	8226
908	2081	8224
909	2084	8222
910	2086	8221
911	2089	8221
912	2092	8219
913	2094	8218
914	2097	8216
915	2099	8213
916	2101	8210
917	2103	8206
918	2105	8203
919	2107	8201
920	2109	8199
921	2112	8197
922	2114	8194
923	2116	8192
924	2119	8192
925	2122	8193
926	2125	8193
927	2128	8191
928	2130	8188
929	2132	8186
930	2134	8184
931	2137	8182
932	2140	8184
933	2144	8186
934	2146	8185
935	2148	8182
936	2151	8181
937	2153	8179
938	2156	8178
939	2158	8176
940	2161	8175
941	2163	8173
942	2166	8170
943	2168	8167
944	2170	8163
945	2172	8161
946	2175	8160
947	2177	8158
948	2179	8156
949	2182	8155
950	2184	8151
951	2186	8150
952	2189	8148
953	2191	8146
954	2193	8143
955	2196	8140
956	2198	8140
957	2201	8139
958	2204	8139
959	2206	8135
960	2209	8134
961	2211	8134
962	2214	8132
963	2216	8130
964	2219	8130
965	2222	8130
966	2225	8130
967	2227	8127
968	2230	8127
969	2232	8123
970	2234	8122
971	2238	8123
972	2241	8125
973	2244	8125
974	2247	8124
975	2249	8123
976	2253	8125
977	2256	8127
978	2259	8127
979	2262	8126
980	2264	8124
981	2267	8124
982	2271	8126
983	2273	8125
984	2276	8123
985	2279	8122
986	2282	8124
987	2285	8123
988	2288	8124
989	2290	8122
990	2293	8122
991	2296	8122
992	2300	8123
993	2303	8124
994	2306	8123
995	2308	8121
996	2311	8121
997	2314	8120
998	2317	8121
999	2319	8119
1000	2322	8118
1001	2324	8115
1002	2328	8117
1003	2331	8118
1004	2335	8120
1005	2337	8120
1006	2340	8119
1007	2342	8116
1008	2345	8113
1009	2347	8112
1010	2350	8112
1011	2353	8111
1012	2355	8109
1013	2357	8106
1014	2359	8102
1015	2361	8099
1016	2364	8097
1017	2367	8096
1018	2369	8093
1019	2371	8091
1020	2373	8086
1021	2375	8082
1022	2377	8079
1023	2379	8077
1024	2381	8074
1025	2383	8071
1026	2385	8067
1027	2387	8063
1028	2389	8058
1029	2390	8053
1030	2392	8049
1031	2394	8045
1032	2395	8041
1033	2397	8036
1034	2399	8032
1035	2401	8029
1036	2403	8025
1037	2405	8021
1038	2407	8018
1039	2409	8014
1040	2411	8011
1041	2413	8007
1042	2414	8003
1043	2417	8001
1044	2418	7996
1045	2420	7993
1046	2422	7990
1047	2424	7986
1048	2427	7984
1049	2429	7982
1050	2431	7979
1051	2433	7976
1052	2435	7971
1053	2437	7968
1054	2439	7965
1055	2441	7961
1056	2443	7959
1057	2445	7955
1058	2447	7951
1059	2449	7947
1060	2450	7943
1061	2452	7940
1062	2454	7936
1063	2456	7933
1064	2459	7932
1065	2461	7929
1066	2463	7927
1067	2465	7924
1068	2467	7920
1069	2469	7917
1070	2471	7913
1071	2473	7909
1072	2475	7907
1073	2477	7903
1074	2479	7900
1075	2481	7897
1076	2483	7894
1077	2485	7890
1078	2487	7886
1079	2489	7883
1080	2491	7880
1081	2493	7877
1082	2495	7874
1083	2497	7871
1084	2499	7867
1085	2501	7864
1086	2503	7860
1087	2505	7857
1088	2508	7856
1089	2509	7851
1090	2511	7849
1091	2513	7845
1092	2516	7842
1093	2517	7839
1094	2520	7836
1095	2522	7833
1096	2524	7830
1097	2526	7827
1098	2528	7823
1099	2530	7821
1100	2532	7818
1101	2534	7815
1102	2536	7812
1103	2539	7810
1104	2541	7807
1105	2543	7804
1106	2545	7801
1107	2547	7797
1108	2548	7794
1109	2550	7790
1110	2553	7788
1111	2555	7785
1112	2557	7782
1113	2559	7778
1114	2561	7775
1115	2562	7771
1116	2564	7767
1117	2566	7764
1118	2568	7761
1119	2570	7758
1120	2573	7756
1121	2575	7752
1122	2576	7748
1123	2578	7744
1124	2580	7740
1125	2581	7736
1126	2583	7733
1127	2586	7731
1128	2588	7728
1129	2590	7725
1130	2592	7721
1131	2594	7718
1132	2596	7715
1133	2597	7711
1134	2599	7708
1135	2601	7704
1136	2604	7702
1137	2606	7699
1138	2608	7697
1139	2610	7693
1140	2612	7689
1141	2613	7685
1142	2615	7682
1143	2618	7680
1144	2620	7678
1145	2622	7675
1146	2623	7670
1147	2625	7666
1148	2627	7663
1149	2629	7659
1150	2631	7655
1151	2633	7652
1152	2635	7651
1153	2637	7647
1154	2639	7644
1155	2641	7640
1156	2642	7636
1157	2644	7632
1158	2646	7629
1159	2648	7626
1160	2650	7623
1161	2652	7620
1162	2654	7616
1163	2656	7612
1164	2657	7607
1165	2659	7605
1166	2661	7601
1167	2663	7598
1168	2665	7595
1169	2667	7592
1170	2669	7589
1171	2671	7585
1172	2673	7582
1173	2675	7578
1174	2676	7574
1175	2678	7571
1176	2680	7567
1177	2682	7563
1178	2683	7560
1179	2686	7557
1180	2688	7554
